# Stability checks for fixed-tp Y2 shape ansaetze
# model global_rel loo_holdout_rel loo_holdout_p95 pred_spread_mean pred_spread_max
log_hilltop_plus_const 5.1787692977e-03 1.4056849602e-02 2.6724838598e-02 3.0905030933e-03 6.9800808565e-03
# param roughness sign_changes mean_jk_std
c0 5.9486179429e+00 18 1.8060327515e-02
A 1.9541275148e+00 2 1.7598557206e-02
alpha 2.0301762570e+00 0 3.1533723062e-02
# tp holdout_rel_rmse pred_rel_spread_mean c0_jk_std A_jk_std alpha_jk_std
2.8685156218e+00 2.6808881761e-03 6.2294676231e-04 2.6400114171e-03 2.4955523745e-03 1.3674311088e-02
3.0000000000e+00 3.3880333967e-03 7.8239200919e-04 3.3992961953e-03 3.2239716820e-03 1.7786301185e-02
3.2183731270e+00 4.4655007929e-03 1.0246775069e-03 4.6471607565e-03 4.4261673489e-03 2.4503238885e-02
3.4526418615e+00 5.4887539819e-03 1.2543667802e-03 5.9826347617e-03 5.7196156366e-03 3.1486842135e-02
3.7039632614e+00 6.4513316452e-03 1.4703930303e-03 7.4452500924e-03 7.1437463774e-03 3.8719191095e-02
3.9735786079e+00 7.3145758530e-03 1.6645488546e-03 9.0375264648e-03 8.7021642591e-03 4.5958081709e-02
4.2628195366e+00 8.0667569405e-03 1.8345304960e-03 1.0795990900e-02 1.0431479695e-02 5.3089730684e-02
4.5731146139e+00 8.6994282460e-03 1.9786357616e-03 1.2770292707e-02 1.2381434109e-02 5.9998130572e-02
4.9059963933e+00 9.1959978605e-03 2.0932392239e-03 1.5001055352e-02 1.4593109963e-02 6.6478050850e-02
5.2631089844e+00 9.5548785512e-03 2.1779550730e-03 1.7559565802e-02 1.7137743152e-02 7.2401278747e-02
5.6462161733e+00 9.7597534657e-03 2.2289274677e-03 2.0495470095e-02 2.0065614578e-02 7.7496542818e-02
6.0572101337e+00 9.8358725375e-03 2.2516008045e-03 2.3983495169e-02 2.3550532486e-02 8.1814334956e-02
6.4981207730e+00 9.7684818175e-03 2.2423142798e-03 2.8112783819e-02 2.7682268308e-02 8.5057055210e-02
6.9711257572e+00 9.5707592648e-03 2.2036607981e-03 3.3103761423e-02 3.2680879138e-02 8.7160350316e-02
7.4785612673e+00 9.2549644177e-03 2.1380168962e-03 3.9249649108e-02 3.8839257436e-02 8.8060818066e-02
8.0229335370e+00 8.8372815099e-03 2.0486407920e-03 4.7004872878e-02 4.6611392030e-02 8.7750550855e-02
8.6069312317e+00 8.3059897751e-03 1.9323399788e-03 5.6784484053e-02 5.6412997865e-02 8.5940312512e-02
9.2334387273e+00 7.6925226725e-03 1.7959742237e-03 6.9640745366e-02 6.9295219080e-02 8.2811946617e-02
